,Link KawalPemilu,Nama Kelurahan,Nomor TPS,Suara 01,Suara 02,Suara Sah
628,https://kawalpemilu.org#51639,"GOMBONG, PANIMBANG, PANDEGLANG, BANTEN",1,126,74,200
14302,https://kawalpemilu.org#52536,"KALIASIN, SUKAMULYA, TANGERANG, BANTEN",1,82,120,202
6400,https://kawalpemilu.org#52139,"SUKASENANG, CIJAKU, LEBAK, BANTEN",6,91,84,175
165,https://kawalpemilu.org#51597,"MANGKUALAM, CIMANGGU, PANDEGLANG, BANTEN",8,99,99,198
13453,https://kawalpemilu.org#52501,"PANONGAN, PANONGAN, TANGERANG, BANTEN",19,76,162,238
23645,https://kawalpemilu.org#53018,"NEGLASARI, NEGLASARI, KOTA TANGERANG, BANTEN",35,175,34,209
17702,https://kawalpemilu.org#52737,"SUKAMAJU, KIBIN, SERANG, BANTEN",5,72,161,233
11818,https://kawalpemilu.org#52454,"KOHOD, PAKUHAJI, TANGERANG, BANTEN",6,112,92,204
783,https://kawalpemilu.org#51651,"CIPINANG, ANGSANA, PANDEGLANG, BANTEN",3,74,160,234
200,https://kawalpemilu.org#51602,"MENDUNG, CIBALIUNG, PANDEGLANG, BANTEN",6,112,110,222
27378,https://kawalpemilu.org#53145,"LEBAKWANGI, WALANTAKA, KOTA SERANG, BANTEN",5,75,167,242
4561,https://kawalpemilu.org#51979,"MEKARWANGI, MUNCANG, LEBAK, BANTEN",12,33,130,163
11488,https://kawalpemilu.org#52439,"KOSAMBI TIMUR, KOSAMBI, TANGERANG, BANTEN",1,108,127,235
19786,https://kawalpemilu.org#52897,"UMBUL TANJUNG, CINANGKA, SERANG, BANTEN",3,56,153,209
14608,https://kawalpemilu.org#52544,"BENCONGAN, KELAPA DUA, TANGERANG, BANTEN",89,76,101,177
25949,https://kawalpemilu.org#53094,"KEBON DALEM, PURWAKARTA, KOTA CILEGON, BANTEN",5,85,166,251
18975,https://kawalpemilu.org#52838,"CEMPLANG, JAWILAN, SERANG, BANTEN",5,40,172,212
25162,https://kawalpemilu.org#53059,"KALITIMBANG, CIBEBER, KOTA CILEGON, BANTEN",20,49,113,162
12656,https://kawalpemilu.org#52477,"CUKANGGALIH, CURUG, TANGERANG, BANTEN",9,47,134,181
