Link KawalPemilu,Nama Kelurahan,Nomor TPS,Suara 01,Suara 02,Suara Sah
https://kawalpemilu.org#51649,"SUMURLABAN, ANGSANA, PANDEGLANG, BANTEN",5,66,130,196
https://kawalpemilu.org#52204,"GUNUNGBATU, CILOGRANG, LEBAK, BANTEN",2,31,168,199
https://kawalpemilu.org#52623,"BOJONEGARA, BOJONEGARA, SERANG, BANTEN",1,31,205,236
https://kawalpemilu.org#53238,"KADEMANGAN, SETU, KOTA TANGERANG SELATAN, BANTEN",13,91,125,216
https://kawalpemilu.org#52858,"PABUARAN, PABUARAN, SERANG, BANTEN",1,20,202,222
https://kawalpemilu.org#52875,"KALUMPANG, PADARINCANG, SERANG, BANTEN",7,77,188,265
https://kawalpemilu.org#53071,"MEKARSARI, PULOMERAK, KOTA CILEGON, BANTEN",19,72,148,220
https://kawalpemilu.org#52831,"CARENANG UDIK, KOPO, SERANG, BANTEN",4,80,130,210
https://kawalpemilu.org#52823,"PASIRLIMUS, PAMARAYAN, SERANG, BANTEN",16,116,86,202
https://kawalpemilu.org#52419,"GELAM JAYA, PASAR KEMIS, TANGERANG, BANTEN",33,0,0,0
https://kawalpemilu.org#53208,"JURANGMANGU TIMUR, PONDOK AREN, KOTA TANGERANG SELATAN, BANTEN",51,49,171,220
https://kawalpemilu.org#52473,"BINONG, CURUG, TANGERANG, BANTEN",158,134,13,147
https://kawalpemilu.org#53013,"CIBODAS BARU, CIBODAS, KOTA TANGERANG, BANTEN",6,80,94,174
https://kawalpemilu.org#52071,"SAJIRA, SAJIRA, LEBAK, BANTEN",7,16,190,206
https://kawalpemilu.org#52511,"RANCAGONG, LEGOK, TANGERANG, BANTEN",22,97,107,204
https://kawalpemilu.org#52427,"KAMPUNG MELAYU TIMUR, TELUKNAGA, TANGERANG, BANTEN",9,66,152,218
https://kawalpemilu.org#52957,"PORIS GAGA BARU, BATUCEPER, KOTA TANGERANG, BANTEN",11,80,126,206
https://kawalpemilu.org#52418,"PANGADEGAN, PASAR KEMIS, TANGERANG, BANTEN",18,50,59,109
https://kawalpemilu.org#52968,"CIPONDOH, CIPONDOH, KOTA TANGERANG, BANTEN",38,98,71,169
https://kawalpemilu.org#52617,"SUKABARES, WARINGINKURUNG, SERANG, BANTEN",9,43,106,149
https://kawalpemilu.org#53178,"TAMAN BARU, TAKTAKAN, KOTA SERANG, BANTEN",11,87,153,240
https://kawalpemilu.org#53162,"BANJAR SARI, CIPOCOK JAYA, KOTA SERANG, BANTEN",36,39,130,169
https://kawalpemilu.org#53002,"PASAR BARU, KARAWACI, KOTA TANGERANG, BANTEN",6,105,114,219
https://kawalpemilu.org#51607,"MAHENDRA, CIBALIUNG, PANDEGLANG, BANTEN",2,105,120,225
https://kawalpemilu.org#52968,"CIPONDOH, CIPONDOH, KOTA TANGERANG, BANTEN",61,132,134,266
https://kawalpemilu.org#52391,"RAWA KIDANG, SUKADIRI, TANGERANG, BANTEN",7,35,152,187
https://kawalpemilu.org#52412,"SINDANGSARI, PASAR KEMIS, TANGERANG, BANTEN",21,62,128,190
